angleout,pathlength,cylangleadvance,windingrot,anglein
20.187000, 1597.960430, 67.096888, -787.089973, 21.602036
20.188000, 1597.298711, 66.725993, -786.717608, 21.627786
20.189000, 1597.381779, 66.772888, -786.764050, 21.611404
20.190000, 1596.348495, 66.185808, -786.182591, 21.655159
20.191000, 1600.072400, 68.274164, -788.275931, 21.441979
20.192000, 1599.185347, 67.777572, -787.777266, 21.479724
20.193000, 1597.977505, 67.104925, -787.098088, 21.533919
20.194000, 1598.188792, 67.222221, -787.216520, 21.509805
20.195000, 1596.620811, 66.339354, -786.334672, 21.580419
20.196000, 1601.631193, 69.155742, -789.149096, 21.310753
20.197000, 1600.236670, 68.364881, -788.365779, 21.357691
20.198000, 1603.744802, 70.334446, -790.333646, 21.145681
20.199000, 1604.148471, 70.558216, -790.559580, 21.110636
20.200000, 1601.950422, 69.334929, -789.326565, 21.199665
20.201000, 1602.468132, 69.624114, -789.616434, 21.156428
20.202000, 1601.525833, 69.093680, -789.087628, 21.194023
20.203000, 1600.102821, 68.278542, -788.280267, 21.527612
20.204000, 1622.927228, 81.047332, -801.049243, 20.176876
20.205000, 1621.190026, 80.088070, -800.080697, 20.247128
20.206000, 1619.588274, 79.190090, -799.187288, 20.301085
20.207000, 1617.982821, 78.290902, -798.291382, 20.374787
20.208000, 1618.155665, 78.385818, -798.387216, 20.351225
20.209000, 1624.795890, 82.091255, -802.085657, 19.993412
20.210000, 1623.103568, 81.140438, -801.143244, 20.070914
20.211000, 1621.639840, 80.332605, -800.327596, 20.122968
20.212000, 1619.996872, 79.416803, -799.411841, 20.179562
20.213000, 1631.650845, 85.893375, -805.891709, 19.602793
20.214000, 1630.378198, 85.192838, -805.184394, 19.649595
20.215000, 1632.203467, 86.195433, -806.196690, 19.552284
20.216000, 1634.644239, 87.557445, -807.549475, 19.428700
20.217000, 1633.151565, 86.720701, -806.720727, 19.477826
20.218000, 1608.978161, 73.241395, -793.243485, 21.530515
20.219000, 1608.132626, 72.770729, -792.768258, 21.603821
20.220000, 1611.652600, 74.753523, -794.745010, 21.371167
20.221000, 1610.614426, 74.165231, -794.160583, 21.411800
20.222000, 1607.996433, 72.694589, -792.691378, 21.607184
20.223000, 1611.377417, 74.598985, -794.590185, 21.385442
20.224000, 1610.366467, 74.024313, -794.021008, 21.423205
20.225000, 1609.210809, 73.367818, -793.370790, 21.470458
20.226000, 1616.361732, 77.392307, -797.384071, 21.070819
20.227000, 1622.348484, 80.721660, -800.720424, 20.093049
20.228000, 1620.307847, 79.589814, -799.583200, 20.165435
20.229000, 1627.669219, 83.676434, -803.678551, 19.804434
20.230000, 1631.206162, 85.646495, -805.642434, 19.618172
20.231000, 1629.716584, 84.821342, -804.814605, 19.684756
20.232000, 1631.376150, 85.738196, -805.735025, 19.580730
20.233000, 1633.973933, 87.179634, -807.175279, 19.454127
20.234000, 1632.708387, 86.470055, -806.472485, 19.493792
20.235000, 1579.062497, 56.331842, -776.323040, 23.287710
20.236000, 1586.077609, 60.305646, -780.308735, 22.793861
20.237000, 1606.325315, 71.757114, -791.750528, 21.722793
20.238000, 1586.130648, 60.335869, -780.338693, 22.791715
20.239000, 1606.641607, 71.937062, -791.928749, 21.708052
20.240000, 1609.417729, 73.486260, -793.488091, 21.509188
20.241000, 1608.627304, 73.043894, -793.044075, 21.575955
20.242000, 1612.213303, 75.062937, -795.057409, 21.342033
20.243000, 1521.783067, 23.996498, -743.997482, 24.640148
20.244000, 1533.581317, 30.760633, -750.755429, 23.641048
20.245000, 1532.826378, 30.332195, -750.322852, 23.672184
20.246000, 1506.230978, 15.151020, -735.146190, 25.412742
20.247000, 1503.654919, 13.653569, -733.653649, 25.566194
20.248000, 1504.327849, 14.046671, -734.042998, 25.451312
20.249000, 1504.380822, 14.076604, -734.072646, 25.410425
20.250000, 1503.374690, 13.487649, -733.489320, 25.461561
20.251000, 1507.442778, 15.838632, -735.840473, 25.008720
20.252000, 1503.662002, 13.657310, -733.657354, 25.240187
20.253000, 1501.668704, 12.509499, -732.504355, 25.369319
20.254000, 1499.628318, 11.325212, -731.322620, 25.507449
20.255000, 1502.257738, 12.844952, -732.843063, 25.292736
20.256000, 1512.896844, 18.978978, -738.978038, 24.765173
20.257000, 1510.801298, 17.774208, -737.769536, 24.887327
20.258000, 1513.533114, 19.345807, -739.341367, 24.683592
20.259000, 1511.157135, 17.974377, -737.971647, 24.823650
20.260000, 1515.839944, 20.662222, -740.660261, 24.331219
20.261000, 1512.908836, 18.977191, -738.976268, 24.526147
20.262000, 1509.803041, 17.197662, -737.188823, 24.707892
20.263000, 1507.175748, 15.673980, -735.674230, 24.863542
20.264000, 1504.091323, 13.896044, -733.893808, 25.064461
20.265000, 1486.314866, 3.572551, -723.569228, 26.545490
20.266000, 1485.793890, 3.268355, -723.267935, 26.570407
20.267000, 1484.367098, 2.440118, -722.438493, 26.674747
20.268000, 1485.945098, 3.359543, -723.358252, 26.519755
20.269000, 1485.765019, 3.256021, -723.255719, 26.511824
20.270000, 1484.838019, 2.717707, -722.718768, 26.560900
20.271000, 1525.607889, 26.232586, -746.234058, 22.946554
20.272000, 1535.582115, 31.892029, -751.892374, 23.120062
20.273000, 1486.895745, 3.924657, -723.917971, 26.332835
20.274000, 1514.033285, 19.567555, -739.560997, 25.141943
