angleout,pathlength,cylangleadvance,windingrot,anglein
26.500000, 1332.160229, 274.875556, -634.811260, 29.074177
26.600000, 1347.246649, 283.918467, -643.757907, 27.328233
26.700000, 1319.167650, 267.297360, -627.027057, 30.147846
26.800000, 1342.441696, 280.945121, -640.924191, 28.098120
26.900000, 1325.457896, 270.815469, -630.892969, 28.142150
27.000000, 1316.659511, 265.775629, -625.535607, 31.424021
27.100000, 1397.132236, 312.817420, -672.697910, 24.221681
27.200000, 1397.077273, 312.779001, -672.670198, 24.289511
27.300000, 1309.934593, 261.652917, -621.709632, 28.829099
27.400000, 1310.487514, 261.949582, -622.047718, 28.736530
27.500000, 1283.990199, 246.495696, -606.226967, 29.634611
27.600000, 1274.251112, 240.652177, -600.350619, 30.648499
27.700000, 1309.120120, 261.239879, -621.238943, 28.565300
27.800000, 1259.960286, 231.529624, -591.663035, 30.618928
27.900000, 1346.218380, 283.484617, -643.098289, 26.579074
28.000000, 1343.644484, 281.699297, -641.604842, 27.148813
28.100000, 1306.522641, 259.975624, -619.701537, 29.084968
28.200000, 1328.536809, 272.786587, -632.594000, 29.701612
28.300000, 1316.942036, 266.199723, -625.909569, 28.204501
28.400000, 1297.398180, 254.216104, -614.316900, 28.266729
28.500000, 1298.318381, 255.019715, -614.862884, 28.222323
28.600000, 1297.864570, 254.594063, -614.593738, 28.193944
28.700000, 1295.001699, 253.105588, -612.896937, 27.983940
28.800000, 1296.631000, 253.871232, -613.860759, 27.936989
28.900000, 1273.628612, 240.509030, -600.070660, 28.908041
29.000000, 1289.950120, 249.889390, -609.860892, 29.436054
29.100000, 1290.171028, 250.023524, -609.994466, 29.473499
29.200000, 1268.687581, 237.234898, -597.114003, 29.612020
29.300000, 1275.193734, 240.990834, -601.013030, 28.626617
29.400000, 1275.860503, 241.193696, -601.409828, 28.538116
29.500000, 1275.246061, 241.012131, -601.054686, 29.366148
29.600000, 1266.969888, 235.975688, -596.085427, 29.402906
29.700000, 1267.928946, 236.518983, -596.660770, 29.212261
29.800000, 1231.996764, 214.688784, -574.746267, 33.829867
29.900000, 1225.962332, 210.931585, -570.929074, 35.002736
30.000000, 1266.322581, 235.726941, -595.680095, 29.743046
30.100000, 1284.831225, 247.056897, -606.698419, 27.430840
30.200000, 1219.644422, 207.217539, -567.213092, 32.841370
30.300000, 1220.156338, 207.533440, -567.525966, 32.501351
30.400000, 1250.661485, 226.100370, -586.243897, 30.322042
30.500000, 1177.840887, 181.093514, -541.089373, 34.654512
30.600000, 1233.205855, 215.342358, -575.580196, 32.145098
30.700000, 1226.126317, 211.070452, -571.069262, 35.115901
30.800000, 1235.187276, 216.868800, -576.802338, 31.929528
30.900000, 1221.406723, 208.193616, -568.189231, 35.235563
31.000000, 1194.378864, 191.617764, -551.612793, 33.490847
31.100000, 1185.003064, 185.577286, -545.580173, 35.959492
31.200000, 1184.600721, 185.313484, -545.314858, 35.892633
31.300000, 1209.870421, 201.229908, -561.232827, 32.640569
31.400000, 1212.649827, 202.993442, -562.989222, 31.936002
31.500000, 1180.093372, 182.669459, -542.670486, 34.070310
31.600000, 1263.117868, 233.476242, -593.668947, 28.872259
31.700000, 1257.012353, 230.109265, -590.021354, 29.338741
31.800000, 1269.071259, 237.385848, -597.209565, 28.045200
31.900000, 1166.290439, 173.929357, -533.921518, 35.269791
32.000000, 1166.823413, 174.255818, -534.251132, 34.824433
32.100000, 1171.817248, 177.408161, -537.408751, 34.973471
32.200000, 1160.994333, 170.489653, -530.487099, 35.866064
32.300000, 1216.947789, 205.650765, -565.647031, 31.255795
32.400000, 1218.350743, 206.500687, -566.503099, 31.094547
32.500000, 1218.071186, 206.323777, -566.326552, 31.233771
32.600000, 1138.461778, 155.956071, -515.950953, 36.929215
32.700000, 1141.157408, 157.714636, -517.709506, 37.166651
32.800000, 1149.593807, 163.180817, -523.173319, 35.869778
32.900000, 1202.019152, 196.358666, -556.358253, 32.598385
33.000000, 1183.341870, 184.513752, -544.507380, 36.137363
33.100000, 1125.562307, 147.382410, -507.376276, 38.925669
33.200000, 1204.457685, 197.878797, -557.875563, 31.996420
33.300000, 1124.720000, 146.827760, -506.826913, 38.676537
33.400000, 1125.811711, 147.546115, -507.538412, 38.839006
33.500000, 1181.482115, 183.278797, -543.278711, 36.446533
33.600000, 1197.045657, 193.266117, -553.268732, 32.944922
33.700000, 1197.742491, 193.702707, -553.702749, 32.752302
33.800000, 1201.300314, 195.907240, -555.910169, 32.425914
33.900000, 1192.720988, 190.578463, -550.580309, 31.662323
34.000000, 1184.508471, 185.473129, -545.476040, 33.373848
34.100000, 1178.331525, 181.602814, -541.593789, 34.398834
34.200000, 1176.468853, 180.401236, -540.403713, 32.929482
34.300000, 1182.286437, 184.089693, -544.081867, 33.619673
34.400000, 1173.103986, 178.315538, -538.313016, 33.175323
34.500000, 1176.993747, 180.735189, -540.734466, 33.157203
34.600000, 1175.753640, 179.966477, -539.966587, 33.096674
34.700000, 1169.481667, 176.400000, -536.019628, 34.145832
34.800000, 1174.371850, 179.104416, -539.096183, 33.192178
34.900000, 1152.128660, 164.940913, -524.941512, 36.378784
35.000000, 1149.810444, 163.433424, -523.424972, 36.612236
35.100000, 1149.763581, 163.440613, -523.432230, 36.883603
35.200000, 1148.066831, 162.317302, -522.318045, 37.044806
35.300000, 1150.753538, 164.054672, -524.052228, 36.548196
35.400000, 1147.831438, 162.172039, -522.174174, 35.256938
35.500000, 1143.495737, 159.380481, -519.383275, 36.100517
35.600000, 1139.172971, 156.586840, -516.587847, 36.079858
35.700000, 1138.832825, 156.368207, -516.367094, 35.991462
35.800000, 1136.759327, 154.971716, -514.967846, 35.945256
35.900000, 1129.276873, 150.086851, -510.079790, 38.490679
36.000000, 1129.750439, 150.406191, -510.397846, 38.423341
36.100000, 1130.932629, 151.189080, -511.188326, 38.374010
36.200000, 1129.769151, 150.422575, -510.414387, 38.307972
36.300000, 1136.411021, 154.742411, -514.740727, 36.013470
36.400000, 1123.145824, 146.066040, -506.066188, 37.760018
36.500000, 1124.507092, 146.968623, -506.966433, 37.882416
36.600000, 1131.427647, 151.509431, -511.511776, 36.035282
36.700000, 1116.819003, 141.910688, -501.906969, 37.741682
36.800000, 1118.238580, 142.851282, -502.845552, 37.354842
36.900000, 1124.387633, 146.898147, -506.896628, 37.549709
37.000000, 1121.128532, 144.736775, -504.730971, 39.562852
37.100000, 1108.055545, 136.037084, -496.039619, 39.553742
37.200000, 1132.948772, 152.474296, -512.469372, 37.433957
37.300000, 1122.824618, 145.857724, -505.855850, 37.419134
37.400000, 1136.864485, 155.043147, -515.038595, 36.715153
37.500000, 1144.072589, 159.674462, -519.675518, 34.980976
37.600000, 1141.541235, 158.066917, -518.058413, 36.240300
37.700000, 1128.330037, 149.496288, -509.494867, 37.179513
37.800000, 1128.442437, 149.570704, -509.568573, 37.162863
37.900000, 1120.544542, 144.352110, -504.349977, 35.979492
38.000000, 1116.639133, 141.828214, -501.825280, 37.253070
38.100000, 1109.162741, 136.884362, -496.878808, 38.438177
38.200000, 1120.767016, 144.498299, -504.494772, 35.872680
38.300000, 1130.774522, 151.074491, -511.072624, 35.965447
38.400000, 1129.919075, 150.515706, -510.508416, 36.642248
38.500000, 1113.854349, 139.995986, -499.987851, 37.377907
38.600000, 1104.105448, 133.479272, -493.481305, 39.288716
38.700000, 1104.242414, 133.573511, -493.574640, 39.044550
38.800000, 1105.540287, 134.455548, -494.448249, 38.946505
38.900000, 1102.538016, 132.425370, -492.419699, 39.593116
39.000000, 1098.449588, 129.627384, -489.619863, 40.707356
39.100000, 1079.147825, 116.174384, -476.167255, 43.931688
39.200000, 1066.045967, 106.705387, -466.703213, 46.316813
39.300000, 1066.680266, 107.187921, -467.190410, 46.149850
39.400000, 1094.011755, 126.680302, -486.672513, 39.412919
39.500000, 1103.976423, 133.397014, -493.399839, 38.433574
39.600000, 1110.730713, 137.917475, -497.914481, 37.732289
39.700000, 1095.231439, 127.458404, -487.455148, 40.944563
39.800000, 1101.546669, 131.793599, -491.786822, 39.569097
39.900000, 1082.586718, 118.804427, -478.797082, 41.896986
40.000000, 1081.654035, 118.138897, -478.137909, 40.442937
40.100000, 1095.428435, 127.610068, -487.608284, 40.726162
40.200000, 1081.490745, 118.021373, -478.021508, 42.438357
